About	About	True
AcceptAllChangesInDocAndStopTracking	Accept All Changes and Stop Tracking	True
AccessibilityChecker	Check Accessibility	True
AccountSettings	Account Settings...	False
AcetateModeOriginalMarkup	Original: Show Markup	True
Acronyms		
ActivateOffice		
ActivateProduct	Activate Product...	True
ActiveXButton	Command Button	True
ActiveXCheckBox	Check Box	True
ActiveXComboBox	Combo Box	True
ActiveXFrame	Frame	True
ActiveXImage	Image	True
ActiveXLabel	Label	True
ActiveXListBox	List Box	True
ActiveXRadioButton	Option Button	True
ActiveXScrollBar	Scroll Bar	True
ActiveXSpinButton	Spin Button	True
ActiveXTextBox	Text Box	True
ActiveXToggleButton	Toggle Button	True
AddChartElementMenu	Add Chart Element	False
AddDataLabelShapesMenu	Add Data Label	True
AddDataLabelsShapesMenu	Add Data Labels	True
AddInManager	Document Template	True
AddInsMenuAnchor		
AddNode	Add Point	True
AddToFavorites	Add to Favorites...	False
AddinDisabledGroup		
AddressBook	Address Book...	True
AddressFontsFormat	Format Addr Fonts	True
AdvancedEdit3DModel	Pan & Zoom	False
AdvancedFileProperties	View Document Properties...	True
AdvertisePublishAs	Find add-ins for other file formats	True
AlignCenter	Center	True
AlignDialog	Align	False
AlignDistributeHorizontally	Distribute Horizontally	False
AlignDistributeVertically	Distribute Vertically	False
AlignJustify	Justify	True
AlignJustifyHigh	Justify High	True
AlignJustifyLow	Justify Low	True
AlignJustifyMedium	Justify Medium	True
AlignJustifyMenu	Justify	False
AlignJustifyThai	Thai Distributed	True
AlignJustifyWithMixedLanguages	Justify	True
AlignLeft	Align Left	True
AlignRight	Align Right	True
AlignTextMenu		
AlignmentGuides	Use Alignment Guides	True
AlignmentMenu		
AllowPersonallyIdentifiableInformation		
AltTextPaneRibbon	Alt Text	True
AlternativeText	Size...	False
AppGuardTrustPromotion	Trust File	False
ApplicationOptionsDialog	Options	True
ApplyCoAuthoringLock	Block Authors	False
ApplyStylesPane	Apply Styles...	True
ArrowStyleGallery	Arrows	False
ArrowsMore	More Arrows...	False
ArtisticEffectsDialog	Artistic Effects Options...	False
AsianLayoutCharacterScaling	Character Scaling	True
AsianLayoutCharactersEnclose	Enclose Characters...	True
AsianLayoutCombineCharacters	Combine Characters...	True
AsianLayoutFitText	Fit Text...	False
AsianLayoutHorizontalInVertical	Horizontal in Vertical...	False
AsianLayoutMenu	Asian Layout	True
AsianLayoutPhoneticGuide	Phonetic Guide...	True
AsianLayoutTwoLinesInOne	Two Lines in One...	False
AutoAlternativeText	View Alt Text...	True
AutoCaptionInsert	Insert Auto Caption	True
AutoCorrect	AutoCorrect Options...	True
AutoCorrectCapsLockOff	Tools AutoCorrect Caps Lock Off	True
AutoCorrectDays	Tools AutoCorrect Days	True
AutoCorrectExceptions	Tools AutoCorrect Exceptions	True
AutoCorrectHECorrect	HECorrect	True
AutoCorrectInitialCaps	Tools AutoCorrect Initial Caps	True
AutoCorrectReplaceText	Tools AutoCorrect Replace Text	True
AutoCorrectSentenceCaps	Tools AutoCorrect Sentence Caps	True
AutoCorrectSmartQuotes	Tools AutoCorrect Smart Quotes	True
AutoFormat	AutoFormat...	True
AutoFormatAsYouType	Tools Options AutoFormat As You Type	True
AutoFormatChange	Tip Wizard 6	False
AutoFormatNow	AutoFormat...	True
AutoFormatOptions	Tools Options AutoFormat	True
AutoManager	AutoCorrect Options...	True
AutoMarkIndexEntries	Auto Mark Index Entries	True
AutoSaveSwitch	AutoSave	True
AutoScroll	Auto Scroll	True
AutoSum	Sum	False
AutoSummarize	Auto Summarize	False
AutoSummaryExitView	Close	False
AutoSummaryResummarize	Resummarize	False
AutoSummaryToolsMenu	AutoSummary Tools	False
AutoSummaryUpdateProperties	Update Properties	False
AutoSummaryViewByHighlight	Highlight/Show Only Summary	False
AutoTextCreate	Create AutoText...	False
AutoTextGallery	AutoText	True
AutoTextInsert	Insert AutoText	True
BackgroundRemovalClose	Discard All Changes	False
BarcodeInsert	Barcode	True
BevelShapeGallery	Bevel	False
BevelTextGallery	Bevel	True
BibliographyAddNewPlaceholder	Add New Placeholder...	True
BibliographyAddNewSource	Add New Source...	True
BibliographyGallery	Bibliography	True
BibliographyInsert	Insert Bibliography	True
BibliographyManageSources	Manage Sources...	True
BibliographyStyle	Style:	True
BlankPageInsert	Blank Page	True
BlockAuthorsMenu	Block Authors	False
BlogCategoryInsert	Insert Category	False
BlogHomePage	Home Page	False
BlogInsertCategories	Insert Category	False
BlogManageAccounts	Manage Accounts	True
BlogOpenExisting	Open Existing	False
BlogPublish	Publish	False
BlogPublishDraft	Publish as Draft	False
BlogPublishMenu	Publish	False
BodyTextHide	Hide Body Text	False
Bold	Bold	True
BoldRun	Bold Run	True
BookmarkInsert	Bookmark...	True
BorderBottomWord	Bottom Border	True
BorderColorPicker	Pen Color	True
BorderDiagonalDown	Diagonal Down Border	False
BorderDiagonalUp	Diagonal Up Border	False
BorderInside	Inside Borders	True
BorderInsideHorizontal	Inside Horizontal Border	True
BorderInsideVertical	Inside Vertical Border	True
BorderLeftWord	Left Border	True
BorderMoreColorsDialog	More Colors...	True
BorderNone	No Border	True
BorderOutside	Outside Borders	True
BorderRightWord	Right Border	True
BorderStylesGallery	Border Styles	True
BorderTopWord	Top Border	True
BordersAll	All Borders	True
BordersSelectionGallery	Borders	True
BordersShadingDialog	Borders and Shading...	True
BordersShadingDialogWord	Borders and Shading...	True
BreakInsertDialog	Break	True
BreakParagraphPageBreakBefore	Para Page Break Before	True
BreaksGallery	Breaks	True
BrightnessLess	Less Brightness	False
BrightnessMore	More Brightness	False
BroadcastEdit	Edit	False
BroadcastEnd	End Online Presentation	False
